libkey,formal,address,tel,post,geocode,url_pc
,大阪市立福島図書館,大阪府大阪市福島区吉野3-17-23 3階,06-6468-2336,553-0006,"135.4731066,34.6915345",http://www.oml.city.osaka.lg.jp/?page_id=154
,大阪市立西成図書館,大阪府大阪市西成区岸里1-1-50 3階,06-6659-2346,557-0041,"135.4949925,34.6345696",http://www.oml.city.osaka.lg.jp/?page_id=148
,大阪市立西淀川図書館,大阪府大阪市西淀川区御幣島1-2-10 大阪市西淀川区役所地下1階,06-6474-7900,555-0012,"135.456137,34.7114546",https://www.oml.city.osaka.lg.jp/?page_id=149
,豊中市立野畑図書館,大阪府豊中市春日町4-11-1,06-6845-2400,560-0052,"135.4700742,34.8115262",https://www.lib.toyonaka.osaka.jp/
,大阪市立阿倍野図書館,大阪府大阪市阿倍野区阿倍野筋4-19-118 3階,06-6656-1009,545-0052,"135.5106298,34.6409299",https://www.oml.city.osaka.lg.jp/?page_id=137
,大阪市立鶴見図書館,大阪府大阪市鶴見区横堤5-3-15,06-6913-0772,538-0052,"135.573468,34.704298",https://www.oml.city.osaka.lg.jp/?page_id=145
,大阪狭山市立図書館,大阪府大阪狭山市今熊一丁目106,072-366-0071,589-0021,"135.543073,34.497141",https://www.lics-saas.nexs-service.jp/osakasayama/
,大阪府立中之島図書館,大阪府大阪市北区中之島1-2-10,06-6203-0474,530-0005,"135.5031678,34.6936794",http://www.library.pref.osaka.jp/site/nakato/
,大阪府立中央図書館,大阪府東大阪市荒本北1-2-1,06-6745-0170,577-0011,"135.6005651,34.6809354",http://www.library.pref.osaka.jp/
,堺市立中図書館,大阪府堺市中区深井清水町1426,072-270-8140,599-8273,"135.491362,34.534321",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立中央図書館,大阪府堺市堺区大仙中町18-1,072-244-3811,590-0801,"135.4810316,34.5614021",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立人権ふれあいセンター図書ホール,大阪府堺市堺区協和町2丁61,072-245-2534,590-0822,"135.469008,34.563987",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立東図書館初芝分館,大阪府堺市東区野尻町221-4,072-286-0071,599-8116,"135.522989,34.540527",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立北図書館,大阪府堺市北区新金岡町5丁1-4,072-258-6850,591-8021,"135.5171917,34.5654776",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立南図書館,大阪府堺市南区茶山台1丁7-1,072-294-0123,590-0115,"135.511297,34.494992",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立中央図書館堺市駅前分館,大阪府堺市堺区田出井町1-1-300,072-222-0140,590-0014,"135.496083,34.577247",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立東図書館,大阪府堺市東区北野田1077 アミナス北野田4F,072-235-1345,599-8123,"135.5424433,34.5233351",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立中図書館東百舌鳥分館,大阪府堺市中区土塔町2363-23,072-234-9600,599-8234,"135.508553,34.537105",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立南図書館栂分館,大阪府堺市南区桃山台2丁1-2,072-296-0025,590-0141,"135.4893015,34.4858243",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立中央図書館移動図書館「くすのき号」,大阪府堺市堺区大仙中町18-1,072-244-3811,590-0801,"135.4810316,34.5614021",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立美原図書館,大阪府堺市美原区黒山167-14,072-369-1166,587-0002,"135.559216,34.538998",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立南図書館美木多分館,大阪府堺市南区鴨谷台2丁4-1,072-296-2111,590-0138,"135.478469,34.474407",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立西図書館,大阪府堺市西区鳳南町4丁444-1,072-271-2032,593-8325,"135.4619504,34.5278361",http://www.city.sakai.lg.jp/kosodate/library/
,堺市立青少年センター図書室,大阪府堺市堺区柳之町西1丁3-19,072-228-6331,590-0930,"135.4809034,34.5873217",http://www.city.sakai.lg.jp/kosodate/library/
,泉南市立図書館,大阪府泉南市馬場一丁目2-1,072-482-7766,590-0525,"135.270284,34.363234",https://library.city.sennan.osaka.jp/toshow/asp/index.aspx
,泉南市自動車図書館｢かしのき号｣,大阪府泉南市馬場一丁目2-1,072-482-7766,590-0525,"135.2634011,34.3611661",https://library.city.sennan.osaka.jp/toshow/asp/index.aspx
,摂津市民図書館,大阪府摂津市正雀4丁目9番25号,06-6319-0577,566-0023,"135.553112,34.7723735",https://www.city.settsu.osaka.jp/soshiki/kyouikusoumubu/shougaigakushuuka/toshokan2/index.html
,摂津市立鳥飼図書センター,大阪府摂津市鳥飼本町5丁目12番5号,0726-53-1040,566-0052,"135.5791263,34.7744684",https://www.city.settsu.osaka.jp/soshiki/kyouikusoumubu/shougaigakushuuka/toshokan2/index.html
,四條畷市立四條畷図書館,大阪府四條畷市中野3丁目5-25 市民総合センター2階,072-878-3743,575-0052,"135.6439436,34.741007",https://www.library.city.shijonawate.lg.jp/
,四條畷市立田原図書館,大阪府四條畷市上田原1番地 グリーンホール田原2階,0743-78-8844,575-0014,"135.7001526,34.7276894",https://www.library.city.shijonawate.lg.jp/
,島本町立図書館,大阪府三島郡島本町桜井3-4-1,075-962-4364,618-0022,"135.660840,34.882845",https://www.town.shimamoto.lg.jp/site/library/
,島本町立移動図書館,大阪府三島郡島本町桜井3-4-1,075-962-4364,618-0022,"135.6603897,34.8829109",https://www.town.shimamoto.lg.jp/site/library/
,吹田市立さんくす図書館,大阪府吹田市朝日町3-501 さんくす3番館5階,06-6317-0037,564-0027,"135.524436,34.762530",http://www.lib.suita.osaka.jp/
,吹田市立中央図書館,大阪府吹田市出口町18-9,06-6387-0071,564-0072,"135.5159183,34.7644187",http://www.lib.suita.osaka.jp/
,吹田市立健都ライブラリー,大阪府吹田市岸部新町2-31,06-6388-3800,564-0018,"135.5324198,34.7723038",http://www.lib.suita.osaka.jp/?page_id=392
,吹田市立図書館北千里分室,大阪府吹田市古江台4-2-D7 北千里地区公民館1階,06-6834-2922,565-0874,"135.5101626,34.8189899",http://www.lib.suita.osaka.jp/
,吹田市立千里山・佐井寺図書館,大阪府吹田市千里山松が丘25-2,06-6192-0516,565-0843,"135.509245,34.779989",http://www.lib.suita.osaka.jp/
,吹田市立千里図書館,大阪府吹田市津雲台1丁目2番1号 千里ニュータウンプラザ3階,06-6834-0132,565-0862,"135.508350,34.793115",http://www.lib.suita.osaka.jp/
,吹田市立千里丘図書館,大阪府吹田市千里丘上14番33号,06-6877-4060,565-0811,"135.550856,34.795394",http://www.lib.suita.osaka.jp/
,吹田市立図書館山田分室,大阪府吹田市山田西2-5-1 山田出張所3階,06-6875-1235,565-0824,"135.5287864,34.7948347",http://www.lib.suita.osaka.jp/
,吹田市立山田駅前図書館,大阪府吹田市山田西4-2-43 吹田市立子育て青少年拠点夢つながり未来館「ゆいぴあ」地下1・2階,06-6816-7722,565-0824,"135.5160375,34.8046194",http://www.lib.suita.osaka.jp/
,吹田市立江坂図書館,大阪府吹田市江坂町1-19-1,06-6385-3766,564-0063,"135.4995866,34.7593244",http://www.lib.suita.osaka.jp/
,吹田市自動車文庫「ゆめぶんこ」,大阪府吹田市出口町18-9,06-6387-0071,564-0072,"135.5159183,34.7644187",http://www.lib.suita.osaka.jp/
,吹田市立男女共同参画センター「デュオ」情報ライブラリー,大阪府吹田市出口町2-1,06-6388-1451,564-0072,"135.518565,34.764219",http://www.city.suita.osaka.jp/home/soshiki/div-shimin/danjoc.html
,忠岡町図書館,大阪府泉北郡忠岡町忠岡南1-18-17,0725-33-1153,595-0813,"135.3956183,34.4890369",http://www.town.tadaoka.osaka.jp/?ka_details=%E5%9B%B3%E6%9B%B8%E9%A4%A80
,太子町立図書室,大阪府南河内郡太子町山田88,0721-98-5526,583-0992,"135.6478251,34.5190426",https://www.town.taishi.osaka.jp/busyo/kyouiku_jimu/syougaigakusyuuka/ivent4/index.html
,田尻町立公民館図書室,大阪府泉南郡田尻町嘉祥寺1120-2,072-466-0030,598-0091,"135.287996,34.394907",https://lib-tajiri-town.jp/
,高石市立図書館分館,大阪府高石市取石3-9-8 高石市複合コミュニティーセンター「とろしプラザ」1F,072-260-0550,592-0013,"135.4533876,34.5183565",https://www.lics-saas.nexs-service.jp/takaishi/index.html
,高石市立図書館,大阪府高石市綾園1-9-1 アプラたかいし4F,072-263-3100,592-0014,"135.4340198,34.5212864",https://www.lics-saas.nexs-service.jp/takaishi/index.html
,高槻市立中央図書館ミューズ子ども分室,大阪府高槻市白梅町7-1 関西大学高槻ミューズキャンパス内,072-683-1911,569-1098,"135.622130,34.855222",http://www.library.city.takatsuki.osaka.jp/
,高槻市立中央図書館,大阪府高槻市桃園町2-1 総合センター2階,072-674-7800,569-0067,"135.617330,34.846631",http://www.library.city.takatsuki.osaka.jp/
,高槻市立小寺池図書館,大阪府高槻市西五百住町1-1,072-696-2880,569-0813,"135.5950434,34.835204",http://www.library.city.takatsuki.osaka.jp/
,高槻市立服部図書館,大阪府高槻市浦堂二丁目15番1号,072-668-1085,569-1027,"135.603413,34.865379",http://www.library.city.takatsuki.osaka.jp/
,高槻市立芝生図書館,大阪府高槻市芝生町4丁目3-11,072-678-7401,569-0823,"135.6097477,34.8221638",http://www.library.city.takatsuki.osaka.jp/
,高槻市立阿武山図書館,大阪府高槻市奈佐原2丁目11-12,072-693-9333,569-1041,"135.580120,34.860297",http://www.library.city.takatsuki.osaka.jp/
,富田林市立図書館自動車文庫「つつじ号」,大阪府富田林市本町16-28,0721-25-4921(中央図書館),584-0093,"135.5996942,34.5031541",https://www.city.tondabayashi.lg.jp/site/library/
,富田林市立中央図書館,大阪府富田林市本町16-28,0721-25-4921,584-0093,"135.5997329,34.5031548",https://www.city.tondabayashi.lg.jp/site/library/
,富田林市立図書館東分室,大阪府富田林市山中田町1-5-50 東公民館内,0721-25-1781,584-0045,"135.6096596,34.4989247",https://www.city.tondabayashi.lg.jp/site/library/
,富田林市立金剛図書館,大阪府富田林市高辺台2丁目1-2,0721-28-1171,584-0072,"135.5744383,34.5002019",https://www.city.tondabayashi.lg.jp/site/library/
,豊中市立いぶき図書室,大阪府豊中市服部西町1-13-1 青年の家いぶき内,06-6843-4553 [岡町図書館],561-0858,"135.466444,34.763143",https://www.lib.toyonaka.osaka.jp/
,豊中市立利倉西センター図書室,大阪府豊中市利倉西1-4-22,06-6843-4533,561-0844,"135.4529962,34.7619873",https://www.lib.toyonaka.osaka.jp/
,豊中市動く図書館「とよ1ぶっくる」,大阪府豊中市岡町北3-4-2,06-6843-4553,561-0884,"135.4635143,34.7803382",https://www.lib.toyonaka.osaka.jp/
,豊中市立千里図書館,大阪府豊中市新千里東町1-2-2 千里文化センター「コラボ」4F,06-6831-0225,560-0082,"135.4944821,34.8105855",https://www.lib.toyonaka.osaka.jp/
,豊中市立岡町図書館,大阪府豊中市岡町北3-4-2,06-6843-4553,561-0884,"135.4635143,34.7803382",https://www.lib.toyonaka.osaka.jp/
,豊中市立庄内幸町図書館,大阪府豊中市庄内幸町4-26-14,06-6332-8220,561-0833,"135.4684203,34.7469001",https://www.lib.toyonaka.osaka.jp/
,豊中市立庄内図書館,大阪府豊中市庄内幸町4-29-1,06-6334-1261,561-0833,"135.470806,34.747090",https://www.lib.toyonaka.osaka.jp/
,豊中市立服部図書館,大阪府豊中市服部本町5-2-8,06-6862-0800,561-0852,"135.477341,34.769403",https://www.lib.toyonaka.osaka.jp/
,豊中市立東豊中図書館,大阪府豊中市東豊中町5-2-1,06-6856-4660,560-0003,"135.4884067,34.7950364",https://www.lib.toyonaka.osaka.jp/
,豊中市立蛍池図書館,大阪府豊中市蛍池中町3-2-1-502 ルシオーレビル5F,06-6840-8000,560-0033,"135.4489289,34.7941224",https://www.lib.toyonaka.osaka.jp/
,豊中市バス図書室,大阪府豊中市上津島3丁目4-1 豊島西小学校内,06-6843-4553 [岡町図書館],561-0843,"135.458404,34.759224",https://www.lib.toyonaka.osaka.jp/
,豊中市立高川図書館,大阪府豊中市豊南町東1-1-2,06-6336-6901,561-0814,"135.483612,34.753570",https://www.lib.toyonaka.osaka.jp/
,豊能町中央公民館図書室,大阪府豊能郡豊能町余野26,072-739-3429,563-0219,"135.4942014,34.91787",http://www.town.toyono.osaka.jp/page/page003670.html#chuou
,豊能町立図書館,大阪府豊能郡豊能町光風台5-1-2,072-738-3304,563-0104,"135.442350,34.901309",http://www.town.toyono.osaka.jp/page/dir003948.html
,八尾市立八尾図書館,大阪府八尾市本町2-2-8,072-993-3606,581-0003,"135.600115,34.626305",http://web-lib.city.yao.osaka.jp/
,八尾市立山本図書館,大阪府八尾市山本町1-8-11,072-995-3883,581-0867,"135.621052,34.628033",http://web-lib.city.yao.osaka.jp/
,八尾市立志紀図書館,大阪府八尾市志紀町西1-3,072-948-5454,581-0094,"135.608079,34.601275",http://web-lib.city.yao.osaka.jp/
,八尾市移動図書館「ふれあい号」,大阪府八尾市本町2-2-8,072-993-3606,581-0003,"135.599836,34.6264024",http://web-lib.city.yao.osaka.jp/
,八尾市立龍華図書館,大阪府八尾市南太子堂2丁目1-45,072-922-8007,581-0056,"135.589044,34.612357",http://web-lib.city.yao.osaka.jp/
,関西アメリカンセンター・レファレンス資料室,大阪府大阪市北区西天満2-11-5 米国総領事館ビル6階,06-6315-5970,530-8543,"135.5019233,34.6968402",https://jp.usembassy.gov/ja/embassy-consulates-ja/osaka-ja/
,大阪市立男女共同参画センター「クレオ大阪」中央館情報・図書コーナー,大阪府大阪市天王寺区上汐5-6-25,06-6770-7200,543-0002,"135.5155677,34.6598221",http://www.creo-osaka.or.jp/chuou/refe_index.html
,大阪市立男女共同参画センター「クレオ大阪」南部館情報・図書コーナー,大阪府大阪市平野区喜連西6-2-33,06-6705-1100,547-0026,"135.548416,34.6106143",http://www.creo-osaka.or.jp/south/refe_index.html
,大阪市立男女共同参画センター「クレオ大阪」子育て活動支援館情報・図書コーナー,大阪府大阪市東淀川区東淡路1-4-21,06-6320-6300,533-0023,"135.5196077,34.7344252",http://www.creo-osaka.or.jp/north/refe_index.html
,大阪市立男女共同参画センター「クレオ大阪」東部館情報・図書コーナー,大阪府大阪市城東区鴫野西2-1-21,06-6965-1200,536-0014,"135.5363457,34.6915857",http://www.creo-osaka.or.jp/east/refe_index.html
,大阪市立男女共同参画センター「クレオ大阪」西部館情報・図書コーナー,大阪府大阪市此花区西九条6-1-20,06-6460-7800,554-0012,"135.4633217,34.6818548",http://www.creo-osaka.or.jp/west/refe_index.html
,大阪府立男女共同参画・青少年センター「ドーンセンター」情報ライブラリー,大阪府大阪市中央区大手前1-3-49,06-6910-8616,540-0008,"135.5207748,34.6900007",http://www.dawncenter.jp/libsrch/
,阪急文化財団池田文庫,大阪府池田市栄本町12-1,072-751-3185,563-0058,"135.4283938,34.8252797",http://www.hankyu-bunka.or.jp/ikedabunko/
,国立文楽劇場図書閲覧室,大阪府大阪市中央区日本橋1-12-10,06-6212-2531,542-0073,"135.5087042,34.6674545",http://www.ntj.jac.go.jp/bunraku/lib.html
,大阪府立国際児童文学館,大阪府東大阪市荒本北1丁目2-1 大阪府立中央図書館内,06-6744-0581,577-0011,"135.6005651,34.6809354",http://www.library.pref.osaka.jp/site/jibunkan/
,国際交流基金関西国際センター図書館,大阪府泉南郡田尻町りんくうポート北3-14,072-490-2605,598-0093,"135.288017,34.399397",https://www.jpf.go.jp/j/kansai/index.html
,大阪産業労働資料館「エル・ライブラリー」,大阪府大阪市中央区北浜東3-14 エルおおさか4F,06-6947-7722,540-0031,"135.5130051,34.6899146",http://shaunkyo.jp/
,国立民族学博物館図書室,大阪府吹田市千里万博公園10番1号,06-6878-8271,565-8511,"135.529905,34.812831",http://www.minpaku.ac.jp/research/sharing/library
,大阪中之島美術館アーカイブズ情報室,大阪府大阪市北区中之島4-3-1,06-6479-0550,530-0005,"135.491570,34.692152",https://nakka-art.jp/collection/archive/
,国立国際美術館,大阪府大阪市北区中之島4-2-55,06-6447-4680,530-0005,"135.4919418,34.691763",http://www.nmao.go.jp/guide/opac.html
,大阪府看護協会図書室,大阪府大阪市中央区城見2-2-22 マルイトOBPビル8階,06-6947-6900,540-0001,"135.5325764,34.6939632",http://www.osaka-kangokyokai.or.jp/CMS/00012.html
,大阪歴史博物館・学習情報センター「なにわ歴史塾」,大阪府大阪市中央区大手前4丁目1-32,06-6946-5728,540-0008,"135.5208035,34.6826244",https://www.osakamushis.jp/visit/naniwajuku.html
,大阪府こころの健康総合センター「こころのオアシス」こころの健康図書コーナー,大阪府大阪市住吉区万代東3丁目1-46,06-6691-2811,558-0056,"135.5038836,34.615744",http://www.pref.osaka.lg.jp/kokoronokenko/kokoro_tosyo/index.html
,茨木市立男女共生センターローズWAM「ネットワークギャラリー」,大阪府茨木市元町4-7,072-620-9920,567-0882,"135.5707107,34.8172043",https://www.city.ibaraki.osaka.jp/kikou/shimin/wam/tosho/index.html
,サピエ図書館／視覚障害者情報総合ネットワーク,大阪府大阪市西区江戸堀1-13-2,06-6441-1078,550-0002,"135.496051,34.692001",https://www.sapie.or.jp/
,大阪市立住まい情報センター,大阪府大阪市北区天神橋6丁目4-20,06-6242-1160,530-0041,"135.511720,34.710346",http://www.osaka-angenet.jp/library/
,証券図書館（大阪）,大阪府大阪市中央区北浜1-5-5 大阪平和ビル地下1階,06-6201-0062,541-0041,"135.5078813,34.6908021",https://www.jsri.or.jp/jsri/activities/library/
,とよなか男女共同参画推進センターすてっぷ情報ライブラリー,大阪府豊中市玉井町1-1-1-501,06-6844-9735,560-0026,"135.4612643,34.7869207",http://toyonaka-step.jp/
,大阪市社会福祉研修・情報センター「ウェルおおさか」図書・資料閲覧室,大阪府大阪市西成区出城2-5-20,06-4392-8233,557-0024,"135.490793,34.649955",https://wel-osaka.com/floor2.html
,藍野大学中央図書館,大阪府茨木市東太田4-5-4,072-625-6369,567-0012,"135.580138,34.843211",http://www.aino.ac.jp/centrallibrary/
,藍野大学短期大学部青葉丘図書館,大阪府富田林市青葉丘11-1,072-366-1106,584-0076,"135.561354,34.5043415",http://www.lib-eye.net/aino/page_detail?id=109
,桃山学院大学図書館,大阪府和泉市まなび野1番1号,0725-54-3131,594-1198,"135.4539941,34.4517895",https://www.andrew.ac.jp/library/index.html
,梅花女子大学図書館,大阪府茨木市宿久庄2-19-5,072-643-8498,567-8578,"135.5348958,34.8426404",http://www.baika.ac.jp/~lib/
,大阪音楽大学付属図書館,大阪府豊中市庄内幸町1-1-8,06-6334-2934,561-8555,"135.470284,34.754638",http://www.daion.ac.jp/about/library/
,大阪商業大学図書館,大阪府東大阪市御厨栄町4-1-10,06-6781-5280,577-8505,"135.584298,34.666313",https://ouc.daishodai.ac.jp/lib/
,関西福祉科学大学・関西女子短期大学図書館,大阪府柏原市旭ケ丘3-11-1 大学本館3階,072-978-0644,582-0026,"135.6367768,34.5573655",https://www.fuksi-kagk-u.ac.jp/profile/librarytop.html
,羽衣国際大学学術情報センター,大阪府堺市西区浜寺南町1-89-1,072-265-7000,592-8344,"135.447888,34.534639",http://www.hagoromo.ac.jp/lib/
,阪南大学図書館南キャンパス分室,大阪府松原市天美南1-108-1,072-332-1224 [阪南大学図書館],580-0033,"135.5418977,34.584895",http://www2.hannan-u.ac.jp/lib/
,阪南大学図書館,大阪府松原市天美東5-4-33,072-332-1224,580-8502,"135.534881,34.591443",http://www2.hannan-u.ac.jp/lib/
,平安女学院大学図書館,大阪府高槻市南平台5丁目81-1,072-696-4947,569-1092,"135.585928,34.868086",http://www.heian.ac.jp/student/campus-life/library/
,東大阪大学・東大阪大学短期大学部附属図書館,大阪府東大阪市西堤学園町3-1-1,06-6782-2837,577-8567,"135.581061,34.676392",http://www.higashiosaka.ac.jp/~library/
,大阪総合保育大学・大阪城南女子短期大学附属図書館,大阪府大阪市東住吉区湯里6-4-26,06-6702-9820,546-0013,"135.5389278,34.6105726",http://www.jonan.jp/biblio/
,関西大学ミューズ大学図書館,大阪府高槻市白梅町7番1号 西館1階,072-684-4136,569-1098,"135.622128,34.855222",https://opac.lib.kansai-u.ac.jp/
,関西大学堺キャンパス図書館,大阪府堺市堺区香ヶ丘町1丁11番1号,072-229-5138,590-8515,"135.4926495,34.5899162",https://opac.lib.kansai-u.ac.jp/
,関西大学総合図書館,大阪府吹田市山手町3丁目3番35号,06-6368-1157,564-8680,"135.510041,34.773990",https://opac.lib.kansai-u.ac.jp/
,関西大学高槻図書室,大阪府高槻市霊仙寺町2丁目1番1号,072-690-2175,569-1095,"135.576178,34.877514",https://opac.lib.kansai-u.ac.jp/
,関西外国語大学図書館（中宮キャンパス）,大阪府枚方市中宮東之町16-1,072-805-2801,573-1001,"135.663512,34.822355",http://library.kansaigaidai.ac.jp/
,関西外国語大学図書館（御殿山キャンパス・グローバルタウン）,大阪府枚方市御殿山南町6-1,072-805-2707,573-1008,"135.657651,34.823667",http://library.kansaigaidai.ac.jp/
,大阪経済法科大学八尾駅前キャンパス図書館,大阪府八尾市北本町2丁目10-45,072-920-4711,581-8522,"135.6030581,34.6337796",http://www.keiho-u.ac.jp/campuslife/library/
,大阪経済法科大学花岡キャンパス図書館,大阪府八尾市楽音寺6-10,072-920-7081,581-8511,"135.644528,34.640278",http://www.keiho-u.ac.jp/campuslife/library/
,大阪健康福祉短期大学図書館,大阪府堺市西区鳳南町5-598,072-274-1310,593-8325,"135.4625841,34.52794799999999",http://www.kenko-fukushi.ac.jp/web/campus-life/facility/library.php
,近畿大学中央図書館,大阪府東大阪市小若江3-4-1,06-4307-3089,577-8502,"135.586917,34.6514162",http://www.clib.kindai.ac.jp/
,近畿大学医学部図書館,大阪府大阪狭山市大野東377-2,072-366-0221,589-8511,"135.551365,34.476975",http://www.med.kindai.ac.jp/libro/
,近畿大学附属看護専門学校図書室,大阪府大阪狭山市大野東102-1,072-366-6389,589-0014,"135.5473602,34.4746961",http://sv2.opac.jp/paop/cgi-bin/index.cgi?LibId=053m9bi
,千里金蘭大学付属図書館,大阪府吹田市藤白台5-25-1,06-6872-7472,565-0873,"135.513747,34.826118",https://www.kinran.ac.jp/institution/library.html
,京都大学原子炉実験所図書室,大阪府泉南郡熊取町朝代西2丁目,072-451-2311,590-0494,"135.349830,34.387920",http://www.rri.kyoto-u.ac.jp/library/index.html
,京都大学複合原子力科学研究所図書室,大阪府泉南郡熊取町朝代西2丁目,072-451-2311,590-0494,"135.349864,34.387947",http://www.kulib.kyoto-u.ac.jp/newdb/12117
,森ノ宮医療大学附属図書館,大阪府大阪市住之江区南港北1-26-16,06-6616-6922,559-8611,"135.413708,34.6415107",http://www.morinomiya-u.ac.jp/campus/library.html
,大阪人間科学大学図書館（薫英学園図書館）,大阪府摂津市正雀1-4-1,06-6381-3000,566-8501,"135.547703,34.779867",https://www.ohs.ac.jp/for_student/library/
,大阪保健医療大学図書館,大阪府大阪市北区天満1-17-3,06-6354-0091,530-0043,"135.5190385,34.6949047",https://ohsu.opac.jp/opac/top
,大阪国際大学守口図書館,大阪府守口市藤田町6-21-57,06-6907-4323,570-8555,"135.603861,34.747810",https://opac.lib.oiu.ac.jp/drupal/
,大阪大学附属図書館外国学図書館,大阪府箕面市船場東3-10-1,072-730-5126,562-0035,"135.491919,34.822197",https://www.library.osaka-u.ac.jp/gaikoku/
,大阪大学大学院法学研究科ローライブラリー,大阪府豊中市待兼山町1-6 豊中キャンパス 法経研究棟2階,06-6850-5179,560-0043,"135.454094,34.804663",https://www.library.osaka-u.ac.jp/
,大阪大学附属図書館理工学図書館,大阪府吹田市山田丘2-1,06-6879-7187,565-0871,"135.522872,34.822287",https://www.library.osaka-u.ac.jp/rikou/
,大阪大学附属図書館生命科学図書館,大阪府吹田市山田丘2-3,06-6879-2415,565-0871,"135.525801,34.818884",https://www.library.osaka-u.ac.jp/seimei/
,大阪大学附属図書館総合図書館,大阪府豊中市待兼山町1-4,06-6850-5067,560-0043,"135.455143,34.805083",https://www.library.osaka-u.ac.jp/sougou/
,大阪電気通信大学四條畷キャンパス図書館,大阪府四條畷市清瀧1130-70,072-876-5075,575-0063,"135.6588005,34.742093",http://www.lib.osakac.ac.jp/
,大阪電気通信大学図書館,大阪府寝屋川市初町18-8,072-824-1131,572-8530,"135.625418,34.760521",http://www.lib.osakac.ac.jp/
,大阪電気通信大学駅前キャンパス図書館,大阪府寝屋川市早子町12-16,072-824-1143,572-0837,"135.6228309,34.7636765",http://www.lib.osakac.ac.jp/
,大阪青山大学図書館,大阪府箕面市新稲2-11-1,072-722-4165,562-8580,"135.456162,34.833499",https://www.osaka-aoyama.ac.jp/facility/library/
,大阪千代田短期大学図書館,大阪府河内長野市小山田町1685,0721-50-1350,586-8511,"135.5489024,34.44553",https://www.chiyoda.ac.jp/library-top/chiyotan_library/
,大阪公立大学中百舌鳥図書館A4棟分室,大阪府堺市中区学園町1-1 A4棟2階,072-254-9772,599-8531,"135.506287,34.546775",https://www.omu.ac.jp/library/
,大阪公立大学中百舌鳥図書館B3棟分室,大阪府堺市中区学園町1-1 B3棟6階,072-254-9554,599-8531,"135.504902,34.545396",https://www.omu.ac.jp/library/
,大阪公立大学りんくう図書室,大阪府泉佐野市りんくう往来北1番地の58,072-463-5763,598-8531,"135.3020835,34.4133773",https://www.omu.ac.jp/library/
,大阪公立大学中百舌鳥図書館,大阪府堺市中区学園町1番1号,072-254-9152,599-8531,"135.505928,34.544533",https://www.omu.ac.jp/library/
,大阪公立大学杉本図書館,大阪府大阪市住吉区杉本3-3-138,06-6605-3240,558-8585,"135.505527,34.592352",https://www.omu.ac.jp/library/
,大阪公立大学梅田サテライト図書コーナー,大阪府大阪市北区梅田1-2-2-600 大阪駅前第2ビル6階,06-6605-3240 [杉本図書館],530-0001,"135.4982431,34.6987177",https://www.omu.ac.jp/library/
,大阪公立大学羽曳野図書センター,大阪府羽曳野市はびきの3丁目7番30号 羽曳野キャンパスN棟,072-950-2111,583-8555,"135.587934,34.549804",https://www.omu.ac.jp/library/
,大阪公立大学都市科学・防災研究センター都市文庫,大阪府大阪市住吉区杉本3-3-138,06-6605-2071,558-8585,"135.504020,34.591606",https://www.omu.ac.jp/orp/urec/library/
,大阪公立大学阿倍野医学図書館,大阪府大阪市阿倍野区旭町1-2-7,06-6645-3491,545-8585,"135.509031,34.645965",https://lib.omu.ac.jp/abeno
,大阪歯科大学図書館天満橋分室,大阪府大阪市中央区大手前1丁目5番17号,06-6910-1021,540-0008,"135.5191053,34.689744",https://wwwlib.osaka-dent.ac.jp/
,大阪歯科大学図書館,大阪府枚方市楠葉花園町8番1号,072-864-3100,573-1121,"135.6761745,34.8592304",https://wwwlib.osaka-dent.ac.jp/
,大阪歯科大学図書館牧野分室,大阪府枚方市牧野本町1-4-4,072-856-9939,573-1144,"135.669246,34.839209",https://wwwlib.osaka-dent.ac.jp/
,大阪芸術大学短期大学部大阪学舎図書館,大阪府大阪市東住吉区矢田2-14-19,06-6691-7341,546-0023,"135.5314699,34.6080256",https://www.osaka-geidai.ac.jp/guide/library
,大阪芸術大学図書館,大阪府南河内郡河南町東山469,0721-93-3160,585-8555,"135.629127,34.512288",http://osaka-geidai-lib.jp/
,大阪学院大学図書館,大阪府吹田市岸部南二丁目36番1号,06-6381-8434,564-8511,"135.542319,34.772456",http://www.osaka-gu.ac.jp/library/index.html
,大阪教育大学附属図書館分館,大阪府大阪市天王寺区南河堀町4-88,06-6775-6649,543-0054,"135.520664,34.647679",http://www.lib.osaka-kyoiku.ac.jp/
,大阪教育大学附属図書館,大阪府柏原市旭ヶ丘4丁目698-1,072-978-3782,582-8582,"135.650227,34.550483",http://www.lib.osaka-kyoiku.ac.jp/
,大阪医科薬科大学本部図書館,大阪府高槻市大学町2番7号,072-683-2155,569-8686,"135.6254207,34.8518109",https://libop.ompu.ac.jp/drupal/
